observation_id,date,year,month,season,location_x,location_y,true_stability,observed_stability,measurement_error,observer_id,observer_name,observer_experience,instrument_type,weather_conditions,days_since_last_survey,drift_detected,drift_direction,drift_magnitude_m,confidence_rating,notes
OBS0086,1847-04-07,1847,4,spring,67.84,52.73,0.0,0.034,0.0338,MAP015,Missus Hollow,28,theodolite,rain,520,True,W,4.7,0.36,"Ground feels unsafe, densmuck visible; rain affecting measurements; boundary appears to have shifted since last survey"
OBS0087,1847-04-08,1847,4,spring,76.04,30.2,1.0,0.992,-0.0081,MAP015,Missus Hollow,28,theodolite,fog,0,False,none,0.0,0.31,"Solid ground, safe for building; visibility poor"
OBS0088,1847-04-09,1847,4,spring,63.88,41.14,0.212,0.199,-0.0128,MAP012,Grit-Eye Salla,10,measuring_rod,clear,125,True,W,2.6,0.57,"Ground feels unsafe, densmuck visible; boundary appears to have shifted since last survey"
OBS0089,1847-05-18,1847,5,spring,39.9,73.47,0.85,0.864,0.0145,MAP010,Pennick Harvor,7,measuring_rod,overcast,790,True,N,2.1,0.39,"Solid ground, safe for building; boundary appears to have shifted since last survey"
OBS0090,1847-05-27,1847,5,spring,38.91,68.37,0.464,0.404,-0.0599,MAP011,Old Tunney,40,theodolite,clear,90,True,N,5.1,0.86,"Transition zone, patchy stability; boundary appears to have shifted since last survey"
OBS0091,1847-05-11,1847,5,spring,55.05,23.1,0.666,0.783,0.1169,MAP013,Karvo the Silent,6,pacing,clear,365,False,none,0.0,0.55,Mostly firm ground with soft patches
OBS0092,1847-06-03,1847,6,summer,42.3,39.98,0.0,0.03,0.0302,MAP015,Missus Hollow,28,theodolite,clear,550,False,none,0.0,0.78,"Ground feels unsafe, densmuck visible"
OBS0093,1847-07-13,1847,7,summer,80.69,44.15,1.0,0.986,-0.0135,MAP004,The Pickbox Man,35,theodolite,clear,365,False,none,0.0,0.8,"Solid ground, safe for building"
OBS0094,1847-07-10,1847,7,summer,35.54,73.01,0.844,0.93,0.0867,MAP015,Missus Hollow,28,theodolite,fog,365,False,none,0.0,0.31,"Solid ground, safe for building; visibility poor"
OBS0095,1847-07-12,1847,7,summer,47.38,59.73,0.0,0.052,0.0522,MAP015,Missus Hollow,28,theodolite,clear,365,False,none,0.0,0.8,"Ground feels unsafe, densmuck visible"
OBS0096,1847-08-19,1847,8,summer,60.23,66.28,0.193,0.183,-0.0093,MAP009,Marga Denside,18,theodolite,clear,365,False,none,0.0,0.69,"Ground feels unsafe, densmuck visible"
OBS0097,1847-09-22,1847,9,autumn,74.18,55.63,0.511,0.536,0.0251,MAP015,Missus Hollow,28,theodolite,clear,455,True,W,2.8,0.83,"Transition zone, patchy stability; boundary appears to have shifted since last survey"
OBS0098,1847-09-01,1847,9,autumn,76.25,43.87,0.833,0.813,-0.0201,MAP011,Old Tunney,40,theodolite,overcast,365,False,none,0.0,0.74,"Solid ground, safe for building"
OBS0099,1847-09-04,1847,9,autumn,80.7,44.1,1.0,0.997,-0.0033,MAP004,The Pickbox Man,35,theodolite,clear,60,False,none,0.0,0.79,"Solid ground, safe for building"
OBS0100,1847-09-11,1847,9,autumn,66.4,43.18,0.296,0.258,-0.0379,MAP004,The Pickbox Man,35,theodolite,rain,365,False,none,0.0,0.51,"Soft ground, footprints sink deep; rain affecting measurements"
OBS0101,1847-09-17,1847,9,autumn,31.39,65.44,0.355,0.328,-0.0272,MAP004,The Pickbox Man,35,theodolite,overcast,455,True,E,2.0,0.74,"Soft ground, footprints sink deep; boundary appears to have shifted since last survey"
OBS0102,1847-09-21,1847,9,autumn,76.3,66.49,1.0,0.975,-0.0251,MAP007,Sister Kalma,12,theodolite,overcast,305,True,E,4.1,0.49,"Solid ground, safe for building; boundary appears to have shifted since last survey"
OBS0103,1847-10-25,1847,10,autumn,64.3,68.56,0.505,0.624,0.119,MAP001,Ferrick Mol,22,theodolite,fog,365,False,none,0.0,0.31,Mostly firm ground with soft patches; visibility poor; conditions made precise measurement difficult
OBS0104,1847-10-21,1847,10,autumn,71.52,34.2,0.919,0.923,0.0037,MAP004,The Pickbox Man,35,theodolite,clear,365,False,none,0.0,0.82,"Solid ground, safe for building"
OBS0105,1847-11-01,1847,11,autumn,38.04,79.17,1.0,1.0,0.0,MAP008,Hoff the Younger,2,pacing,overcast,700,False,none,0.0,0.38,"Solid ground, safe for building"
OBS0106,1847-11-15,1847,11,autumn,24.29,38.27,0.886,0.891,0.0043,MAP011,Old Tunney,40,theodolite,clear,730,False,none,0.0,0.85,"Solid ground, safe for building"
OBS0107,1847-11-01,1847,11,autumn,61.54,72.71,0.624,0.678,0.0536,MAP004,The Pickbox Man,35,theodolite,rain,365,False,none,0.0,0.48,Mostly firm ground with soft patches; rain affecting measurements
OBS0108,1847-12-09,1847,12,winter,77.68,36.64,1.0,1.0,0.0,MAP003,Corra Venst,15,theodolite,rain,365,False,none,0.0,0.43,"Solid ground, safe for building; rain affecting measurements"
OBS0109,1847-12-06,1847,12,winter,77.78,36.69,1.0,1.0,0.0,MAP011,Old Tunney,40,theodolite,clear,0,False,none,0.0,0.95,"Solid ground, safe for building"
OBS0110,1847-12-12,1847,12,winter,29.92,60.04,0.223,0.287,0.0642,MAP001,Ferrick Mol,22,theodolite,clear,365,False,none,0.0,0.7,"Soft ground, footprints sink deep"
OBS0111,1847-12-23,1847,12,winter,60.09,56.92,0.0,0.045,0.0446,MAP011,Old Tunney,40,theodolite,clear,425,False,none,0.0,0.89,"Ground feels unsafe, densmuck visible"
OBS0112,1848-01-10,1848,1,winter,31.79,42.59,0.311,0.313,0.0028,MAP004,The Pickbox Man,35,theodolite,fog,365,False,none,0.0,0.35,"Soft ground, footprints sink deep; visibility poor"
OBS0113,1848-02-04,1848,2,winter,42.27,39.87,0.0,0.0,0.0,MAP015,Missus Hollow,28,theodolite,overcast,245,False,none,0.0,0.73,"Ground feels unsafe, densmuck visible"
OBS0114,1848-02-19,1848,2,winter,54.95,23.31,0.524,0.48,-0.0435,MAP011,Old Tunney,40,theodolite,clear,275,True,N,7.1,0.87,"Transition zone, patchy stability; boundary appears to have shifted since last survey"
OBS0115,1848-03-13,1848,3,spring,29.05,58.4,0.224,0.242,0.0178,MAP003,Corra Venst,15,theodolite,overcast,365,False,none,0.0,0.53,"Soft ground, footprints sink deep"
OBS0116,1848-03-06,1848,3,spring,73.97,29.46,1.0,1.0,0.0,MAP007,Sister Kalma,12,theodolite,overcast,365,False,none,0.0,0.43,"Solid ground, safe for building"
OBS0117,1848-04-10,1848,4,spring,76.26,43.71,0.777,0.78,0.0026,MAP015,Missus Hollow,28,theodolite,clear,215,True,W,2.8,0.72,Mostly firm ground with soft patches; boundary appears to have shifted since last survey
OBS0118,1848-04-20,1848,4,spring,36.54,47.05,0.0,0.0,0.0,MAP004,The Pickbox Man,35,theodolite,overcast,365,False,none,0.0,0.73,"Ground feels unsafe, densmuck visible"
OBS0119,1848-04-12,1848,4,spring,46.95,72.6,0.63,1.0,0.3696,MAP013,Karvo the Silent,6,pacing,rain,365,False,none,0.0,0.32,"Solid ground, safe for building; rain affecting measurements"
OBS0120,1848-04-27,1848,4,spring,59.95,59.31,0.0,0.0,0.0,MAP001,Ferrick Mol,22,theodolite,overcast,365,False,none,0.0,0.57,"Ground feels unsafe, densmuck visible"
OBS0121,1848-05-11,1848,5,spring,31.12,29.41,0.874,0.833,-0.0412,MAP011,Old Tunney,40,theodolite,clear,885,False,none,0.0,0.93,"Solid ground, safe for building"
OBS0122,1848-05-21,1848,5,spring,51.01,21.95,0.748,0.715,-0.0335,MAP003,Corra Venst,15,theodolite,clear,915,True,S,2.3,0.68,Mostly firm ground with soft patches; boundary appears to have shifted since last survey
OBS0123,1848-06-27,1848,6,summer,87.31,54.85,1.0,1.0,0.0,MAP004,The Pickbox Man,35,theodolite,rain,580,False,none,0.0,0.5,"Solid ground, safe for building; rain affecting measurements"
OBS0124,1848-06-02,1848,6,summer,22.71,51.83,0.875,0.653,-0.2221,MAP012,Grit-Eye Salla,10,measuring_rod,overcast,1005,False,none,0.0,0.55,Mostly firm ground with soft patches
OBS0125,1848-07-04,1848,7,summer,27.39,48.8,0.65,0.686,0.0356,MAP004,The Pickbox Man,35,theodolite,clear,365,False,none,0.0,0.88,Mostly firm ground with soft patches
OBS0126,1848-07-22,1848,7,summer,24.35,38.21,0.906,0.895,-0.0107,MAP015,Missus Hollow,28,theodolite,clear,245,False,none,0.0,0.83,"Solid ground, safe for building"
OBS0127,1848-07-17,1848,7,summer,64.26,68.36,0.513,0.471,-0.0414,MAP011,Old Tunney,40,theodolite,clear,275,False,none,0.0,0.88,"Transition zone, patchy stability"
OBS0128,1848-08-16,1848,8,summer,45.74,66.41,0.261,0.287,0.0262,MAP011,Old Tunney,40,theodolite,clear,365,False,none,0.0,0.88,"Soft ground, footprints sink deep"
OBS0129,1848-09-27,1848,9,autumn,27.53,49.03,0.604,0.633,0.0285,MAP011,Old Tunney,40,theodolite,rain,60,True,E,2.3,0.54,Mostly firm ground with soft patches; rain affecting measurements; boundary appears to have shifted since last survey
OBS0130,1848-09-02,1848,9,autumn,51.86,22.21,0.694,0.687,-0.0063,MAP015,Missus Hollow,28,theodolite,clear,1005,False,none,0.0,0.81,Mostly firm ground with soft patches
OBS0131,1848-09-16,1848,9,autumn,32.61,38.93,0.356,0.361,0.0052,MAP004,The Pickbox Man,35,theodolite,clear,850,True,E,2.9,0.92,"Soft ground, footprints sink deep; boundary appears to have shifted since last survey"
OBS0132,1848-09-12,1848,9,autumn,31.31,29.73,0.842,0.838,-0.0039,MAP004,The Pickbox Man,35,theodolite,clear,120,True,N,1.6,0.84,"Solid ground, safe for building; boundary appears to have shifted since last survey"
OBS0133,1848-10-13,1848,10,autumn,14.61,56.21,1.0,0.9,-0.1002,MAP012,Grit-Eye Salla,10,measuring_rod,clear,575,False,none,0.0,0.6,"Solid ground, safe for building"
OBS0134,1848-10-25,1848,10,autumn,74.62,39.79,0.885,0.673,-0.2119,MAP010,Pennick Harvor,7,measuring_rod,rain,910,True,E,1.1,0.34,Mostly firm ground with soft patches; rain affecting measurements; boundary appears to have shifted since last survey
OBS0135,1848-10-28,1848,10,autumn,14.67,56.3,1.0,1.0,0.0,MAP004,The Pickbox Man,35,theodolite,rain,0,False,none,0.0,0.44,"Solid ground, safe for building; rain affecting measurements"
OBS0136,1848-11-11,1848,11,autumn,74.21,58.03,0.546,0.829,0.2826,MAP013,Karvo the Silent,6,pacing,clear,1275,True,W,4.9,0.64,"Solid ground, safe for building; boundary appears to have shifted since last survey"
OBS0137,1848-11-18,1848,11,autumn,47.51,59.53,0.0,0.025,0.0254,MAP001,Ferrick Mol,22,theodolite,clear,485,False,none,0.0,0.64,"Ground feels unsafe, densmuck visible"
