sale_id,creature_id,creature_name,category,danger_rating,rarity_rating,condition,year,week,seller_reputation,buyer_type,destination,quantity,price_per_unit,total_price
SALE-01883,CR001,Leatherback Burrower,bird,3,4,partial,1850,51,0.816,trader,Miasto Market,1,8.73,8.73
SALE-00013,CR004,Swamp Hornet,insect,4,1,fair,1850,52,0.798,display,Capital Display,2,2.96,5.92
SALE-00446,CR004,Swamp Hornet,insect,4,1,damaged,1850,52,0.79,trader,Miasto Market,1,1.07,1.07
SALE-00516,CR011,Cave Moth,insect,0,2,fair,1850,52,0.948,senator,Private Collection,4,10.97,43.88
SALE-00997,CR003,Granite Wren,bird,1,2,pristine,1850,52,0.534,archivist,Capital Archives,2,18.45,36.9
SALE-01190,CR013,Quarry Toad,amphibian,2,3,damaged,1850,52,0.908,display,Capital Display,4,10.46,41.84
SALE-00314,CR006,Glass Beetle,insect,2,6,damaged,1851,1,0.853,collector,Senate Zoological,1,37.85,37.85
SALE-00712,CR003,Granite Wren,bird,1,2,damaged,1851,1,0.937,scholar,Scholar Study,3,11.72,35.16
SALE-01750,CR003,Granite Wren,bird,1,2,good,1851,1,0.727,senator,Private Collection,1,25.83,25.83
SALE-00074,CR013,Quarry Toad,amphibian,2,3,fair,1851,2,0.63,display,Capital Display,2,12.95,25.9
SALE-01249,CR001,Leatherback Burrower,bird,3,4,good,1851,2,0.807,scholar,Scholar Study,1,23.8,23.8
SALE-00046,CR007,Yeller Bird,bird,0,3,damaged,1851,3,0.793,collector,Private Collection,1,64.29,64.29
SALE-00084,CR011,Cave Moth,insect,0,2,good,1851,3,0.721,unknown,Unknown,1,7.17,7.17
SALE-01051,CR014,Densmuck Crawler,arthropod,4,5,fair,1851,3,0.732,senator,Private Collection,1,49.87,49.87
SALE-00087,CR011,Cave Moth,insect,0,2,fair,1851,4,0.815,archivist,Capital Archives,3,7.4,22.2
SALE-01071,CR008,Wharver,mammal,8,6,partial,1851,4,0.916,display,Capital Display,1,106.42,106.42
SALE-01446,CR005,Marsh Stalker,reptile,6,5,damaged,1851,4,0.921,archivist,Capital Archives,1,40.22,40.22
SALE-01725,CR001,Leatherback Burrower,bird,3,4,pristine,1851,4,0.746,display,Capital Display,1,41.01,41.01
SALE-01880,CR011,Cave Moth,insect,0,2,damaged,1851,4,0.732,display,Capital Display,1,5.07,5.07
SALE-01956,CR011,Cave Moth,insect,0,2,fair,1851,4,0.526,collector,Capital Display,1,11.31,11.31
SALE-01313,CR007,Yeller Bird,bird,0,3,good,1851,5,0.745,trader,Miasto Market,2,83.1,166.2
SALE-01734,CR012,Tunnel Eel,fish,3,4,good,1851,5,0.654,display,Capital Display,1,52.54,52.54
SALE-00176,CR011,Cave Moth,insect,0,2,good,1851,6,0.654,display,Capital Display,3,10.49,31.47
SALE-01006,CR004,Swamp Hornet,insect,4,1,good,1851,6,0.786,scholar,Scholar Study,2,4.29,8.58
SALE-01140,CR007,Yeller Bird,bird,0,3,fair,1851,6,0.832,display,Capital Display,2,41.8,83.6
SALE-01371,CR013,Quarry Toad,amphibian,2,3,fair,1851,6,0.552,unknown,Private Collection,3,13.94,41.82
SALE-01746,CR011,Cave Moth,insect,0,2,good,1851,6,0.829,archivist,Capital Archives,1,10.74,10.74
SALE-01762,CR010,Grimslew,mammal,7,7,fair,1851,6,0.614,archivist,Capital Archives,1,361.08,361.08
SALE-00984,CR012,Tunnel Eel,fish,3,4,damaged,1851,7,0.801,senator,Private Collection,1,10.85,10.85
SALE-01411,CR003,Granite Wren,bird,1,2,fair,1851,7,0.775,archivist,Capital Archives,2,15.3,30.6
SALE-00797,CR002,Stone Spine Lizard,reptile,5,7,good,1851,8,0.58,trader,Miasto Market,1,404.52,404.52
SALE-00943,CR013,Quarry Toad,amphibian,2,3,damaged,1851,8,0.66,display,Capital Display,1,15.67,15.67
SALE-01221,CR005,Marsh Stalker,reptile,6,5,fair,1851,8,0.713,collector,Miasto Market,1,95.94,95.94
SALE-01397,CR013,Quarry Toad,amphibian,2,3,partial,1851,8,0.853,archivist,Capital Archives,2,6.77,13.54
SALE-01475,CR006,Glass Beetle,insect,2,6,damaged,1851,8,0.759,archivist,Capital Archives,1,38.61,38.61
SALE-01940,CR008,Wharver,mammal,8,6,good,1851,8,0.83,collector,Miasto Market,1,940.69,940.69
SALE-00115,CR007,Yeller Bird,bird,0,3,partial,1851,9,0.829,trader,Miasto Market,1,13.89,13.89
SALE-00506,CR011,Cave Moth,insect,0,2,fair,1851,9,0.641,senator,Private Collection,3,6.85,20.55
SALE-00745,CR011,Cave Moth,insect,0,2,damaged,1851,9,0.302,trader,Miasto Market,2,2.45,4.9
SALE-01390,CR002,Stone Spine Lizard,reptile,5,7,fair,1851,10,0.455,archivist,Capital Archives,1,147.63,147.63
SALE-01713,CR009,Stakdur,reptile,9,8,damaged,1851,10,0.463,collector,Senate Zoological,1,410.57,410.57
SALE-01879,CR011,Cave Moth,insect,0,2,good,1851,10,0.926,display,Capital Display,2,10.62,21.24
SALE-00091,CR001,Leatherback Burrower,bird,3,4,good,1851,12,0.761,archivist,Capital Archives,1,26.47,26.47
SALE-00321,CR001,Leatherback Burrower,bird,3,4,partial,1851,12,0.944,display,Capital Display,1,9.04,9.04
SALE-00334,CR003,Granite Wren,bird,1,2,damaged,1851,12,0.663,trader,Miasto Market,4,6.34,25.36
SALE-00469,CR012,Tunnel Eel,fish,3,4,good,1851,12,0.845,trader,Miasto Market,2,39.91,79.82
SALE-00543,CR003,Granite Wren,bird,1,2,pristine,1851,12,0.488,collector,Capital Display,4,15.51,62.04
SALE-01025,CR011,Cave Moth,insect,0,2,good,1851,12,0.809,trader,Miasto Market,4,4.91,19.64
SALE-01404,CR014,Densmuck Crawler,arthropod,4,5,fair,1851,12,0.714,unknown,Scholar Study,1,25.65,25.65
SALE-00291,CR011,Cave Moth,insect,0,2,fair,1851,13,0.653,scholar,Scholar Study,1,6.96,6.96
SALE-00297,CR011,Cave Moth,insect,0,2,damaged,1851,13,0.68,unknown,Capital Archives,2,2.18,4.36
SALE-01174,CR003,Granite Wren,bird,1,2,good,1851,13,0.565,unknown,Senate Zoological,3,16.19,48.57
SALE-01204,CR010,Grimslew,mammal,7,7,partial,1851,13,0.528,scholar,Scholar Study,1,24.8,24.8
SALE-01419,CR009,Stakdur,reptile,9,8,partial,1851,13,0.61,trader,Miasto Market,1,19.96,19.96
SALE-01124,CR001,Leatherback Burrower,bird,3,4,partial,1851,14,0.814,senator,Senate Zoological,1,7.13,7.13
SALE-00379,CR001,Leatherback Burrower,bird,3,4,good,1851,15,0.909,senator,Private Collection,1,49.18,49.18
SALE-00732,CR008,Wharver,mammal,8,6,damaged,1851,16,0.872,scholar,Scholar Study,1,95.75,95.75
SALE-01978,CR007,Yeller Bird,bird,0,3,partial,1851,16,0.772,archivist,Capital Archives,4,7.51,30.04
SALE-01402,CR010,Grimslew,mammal,7,7,good,1851,17,0.616,collector,Private Collection,1,378.24,378.24
SALE-01776,CR007,Yeller Bird,bird,0,3,good,1851,17,0.717,archivist,Capital Archives,3,53.46,160.38
SALE-01538,CR011,Cave Moth,insect,0,2,damaged,1851,18,0.74,trader,Miasto Market,1,3.81,3.81
SALE-00432,CR014,Densmuck Crawler,arthropod,4,5,pristine,1851,19,0.731,unknown,Senate Zoological,1,120.08,120.08
SALE-01462,CR001,Leatherback Burrower,bird,3,4,fair,1851,19,0.832,trader,Miasto Market,1,18.25,18.25
SALE-01739,CR014,Densmuck Crawler,arthropod,4,5,damaged,1851,19,0.451,scholar,Scholar Study,2,31.0,62.0
SALE-00517,CR014,Densmuck Crawler,arthropod,4,5,fair,1851,20,0.79,collector,Scholar Study,2,28.98,57.96
SALE-01097,CR012,Tunnel Eel,fish,3,4,good,1851,20,0.543,archivist,Capital Archives,1,27.91,27.91
SALE-01543,CR013,Quarry Toad,amphibian,2,3,damaged,1851,20,0.619,senator,Senate Zoological,5,5.53,27.65
SALE-01599,CR001,Leatherback Burrower,bird,3,4,partial,1851,21,0.9,display,Capital Display,1,3.31,3.31
SALE-00325,CR003,Granite Wren,bird,1,2,good,1851,22,0.36,collector,Private Collection,5,7.61,38.05
SALE-01165,CR005,Marsh Stalker,reptile,6,5,pristine,1851,22,0.621,collector,Miasto Market,1,171.13,171.13
SALE-01613,CR004,Swamp Hornet,insect,4,1,pristine,1851,22,0.739,senator,Senate Zoological,1,8.18,8.18
SALE-00447,CR003,Granite Wren,bird,1,2,good,1851,23,0.453,display,Capital Display,4,12.62,50.48
SALE-00806,CR014,Densmuck Crawler,arthropod,4,5,fair,1851,23,0.627,senator,Private Collection,1,42.29,42.29
SALE-01036,CR004,Swamp Hornet,insect,4,1,pristine,1851,23,0.923,trader,Miasto Market,2,2.71,5.42
SALE-01361,CR008,Wharver,mammal,8,6,good,1851,23,0.777,scholar,Scholar Study,1,716.64,716.64
SALE-01900,CR004,Swamp Hornet,insect,4,1,damaged,1851,23,0.705,collector,Capital Display,1,2.52,2.52
SALE-01061,CR011,Cave Moth,insect,0,2,good,1851,24,0.532,collector,Senate Zoological,3,4.91,14.73
SALE-01764,CR004,Swamp Hornet,insect,4,1,fair,1851,24,0.684,senator,Senate Zoological,1,1.99,1.99
